window,window_start,window_end,feature_type,gene_name,feature_start,feature_end,strand,product,overlap_start,overlap_end,overlap_bp,overlap_percentage
window__235251-235646_pos490,235251,235646,repeat_region,Unknown,233108,235646,+,Unknown,235251,235646,396,100.0
window__235251-235646_pos490,235251,235646,repeat_region,Unknown,235067,235646,+,Unknown,235251,235646,396,100.0
window__235251-235646_pos490,235251,235646,misc_feature,Unknown,235645,235646,+,Unknown,235645,235646,2,0.5050505050505051
window__5001-5500_pos482,5001,5500,misc_feature,Unknown,1324,194343,+,Unknown,5001,5500,500,100.0
window__5001-5500_pos482,5001,5500,gene,RL5A,2488,5852,-,Unknown,5001,5500,500,100.0
window__5001-5500_pos482,5001,5500,mRNA,RL5A,2488,5819,-,protein RL5A,5001,5500,500,100.0
window__5001-5500_pos482,5001,5500,CDS,RL5A,5388,5676,-,protein RL5A,5388,5500,113,22.6
window__100251-100750_pos369,100251,100750,misc_feature,Unknown,1324,194343,+,Unknown,100251,100750,500,100.0
window__100251-100750_pos369,100251,100750,gene,UL69,99518,101747,-,Unknown,100251,100750,500,100.0
window__100251-100750_pos369,100251,100750,CDS,UL69,99518,101747,-,multifunctional expression regulator,100251,100750,500,100.0
window__226501-227000_pos441,226501,227000,misc_feature,Unknown,197626,233108,+,Unknown,226501,227000,500,100.0
window__226501-227000_pos441,226501,227000,gene,US27,223799,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos441,226501,227000,mRNA,US27,223831,226529,+,envelope glycoprotein US27,226501,226529,29,5.800000000000001
window__226501-227000_pos441,226501,227000,gene,US28,225434,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos441,226501,227000,regulatory,Unknown,226497,226503,+,Unknown,226501,226503,3,0.6
window__226501-227000_pos441,226501,227000,gene,US29,226661,228050,+,Unknown,226661,227000,340,68.0
window__226501-227000_pos441,226501,227000,CDS,US29,226661,228050,+,membrane protein US29,226661,227000,340,68.0
window__226501-227000_pos441,226501,227000,ncRNA,hcmv-miR-US33-3p,226710,226730,-,hcmv-miR-US33-3p,226710,226730,21,4.2
window__226501-227000_pos441,226501,227000,ncRNA,hcmv-miR-US33-5p,226746,226768,-,hcmv-miR-US33-5p,226746,226768,23,4.6
window__106751-107250_pos451,106751,107250,misc_feature,Unknown,1324,194343,+,Unknown,106751,107250,500,100.0
window__106751-107250_pos451,106751,107250,gene,UL72,105868,107035,-,Unknown,106751,107035,285,56.99999999999999
window__106751-107250_pos451,106751,107250,CDS,UL72,105868,107035,-,deoxyuridine triphosphatase,106751,107035,285,56.99999999999999
window__106751-107250_pos451,106751,107250,gene,UL73,106936,109088,+,Unknown,106936,107250,315,63.0
window__106751-107250_pos451,106751,107250,regulatory,UL73,106936,106942,+,Unknown,106936,106942,7,1.4000000000000001
window__106751-107250_pos451,106751,107250,regulatory,UL73,106964,106970,+,Unknown,106964,106970,7,1.4000000000000001
window__106751-107250_pos451,106751,107250,mRNA,UL73,106971,109088,+,envelope glycoprotein N,106971,107250,280,56.00000000000001
window__106751-107250_pos451,106751,107250,mRNA,UL73,106994,109088,+,envelope glycoprotein N,106994,107250,257,51.4
window__106751-107250_pos451,106751,107250,CDS,UL73,107050,107458,+,envelope glycoprotein N,107050,107250,201,40.2
window__170751-171250_pos313,170751,171250,misc_feature,Unknown,1324,194343,+,Unknown,170751,171250,500,100.0
window__170751-171250_pos313,170751,171250,gene,UL122,170688,174090,-,Unknown,170751,171250,500,100.0
window__170751-171250_pos313,170751,171250,CDS,UL122,170688,174090,-,regulatory protein IE2,170751,171250,500,100.0
window__226501-227000_pos10,226501,227000,misc_feature,Unknown,197626,233108,+,Unknown,226501,227000,500,100.0
window__226501-227000_pos10,226501,227000,gene,US27,223799,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos10,226501,227000,mRNA,US27,223831,226529,+,envelope glycoprotein US27,226501,226529,29,5.800000000000001
window__226501-227000_pos10,226501,227000,gene,US28,225434,226529,+,Unknown,226501,226529,29,5.800000000000001
window__226501-227000_pos10,226501,227000,regulatory,Unknown,226497,226503,+,Unknown,226501,226503,3,0.6
window__226501-227000_pos10,226501,227000,gene,US29,226661,228050,+,Unknown,226661,227000,340,68.0
window__226501-227000_pos10,226501,227000,CDS,US29,226661,228050,+,membrane protein US29,226661,227000,340,68.0
window__226501-227000_pos10,226501,227000,ncRNA,hcmv-miR-US33-3p,226710,226730,-,hcmv-miR-US33-3p,226710,226730,21,4.2
window__226501-227000_pos10,226501,227000,ncRNA,hcmv-miR-US33-5p,226746,226768,-,hcmv-miR-US33-5p,226746,226768,23,4.6
